"Country","year","pandem","libdem_2019","panback","Bicameralism legislature","Total score","Status","Judicial review","Executive dominance","Minimal winning/ one-party c","bicameralism","pluralism","federalism","Indicator Name","2018","2019","total_cases","total_deaths","total_vaccinations","population","population_density","gdp_per_capita","Rate - World Bank ","Year (WB)","Rate - Int'l. Labour Org.","Year (ILO)","Rate - CIA","Year (CIA)","rank","happiness2021","happiness2020","pop2022"
"Honduras",2021,0.25,0.234,0.179244,1,47,"Partly Free",0.119716814159292,0.191141592920354,0.140327433628319,0,0.152681415929204,0,"Gini index",48.9,48.2,288384.962962963,7676.44444444444,2776773.59259259,10062994,82.805,4541.795,0,"0",0,0,0,0,58,5.919,5.953,10221.247
"Hungary",2020,0.233333333333333,0.37,0.21756,1,69,"Partly Free",-0.29512380952381,0.5672,-0.14232380952381,0.49545,0.123461904761905,3.08133788359788,"Gini index",29.6,30,316669,9161,1094,9634162,108.043,26777.561,0.043,"2020",0.043,2020,0.0345,2019,52,5.992,6,9606.259
"Hungary",2021,0.25,0.37,0.2331,1,69,"Partly Free",-0.29512380952381,0.5672,-0.14232380952381,0.49545,0.123461904761905,3.08133788359788,"Gini index",29.6,30,618753.370629371,21324.4475524476,4094245.23076923,9634162,108.043,26777.561,0.043,"2020",0.043,2020,0.0345,2019,52,5.992,6,9606.259
"India",2021,0.325,0.369,0.3026907,2,66,"Partly Free",-0.917354978354978,0.413627705627706,0.0987445887445887,0.524978028138528,0.0992997835497835,2.12411421356421,"Gini index",0,0,25862241.7441176,340370.241176471,512113372.879412,1393409033,450.419,6426.674,0,"0",0,0,0,0,136,3.819,3.573,1406631.776
"Indonesia",2021,0.15,0.474,0.1495944,2,59,"Partly Free",-0.999926229508197,0.298950819672131,0.452155737704918,0.147540983606557,0.249331967213115,1.24231152641166,"Gini index",37.8,37,2859999.40597015,88896.6149253731,89238259.5880597,276361788,145.725,11188.744,0,"0",0,0,0,0,80,5.345,5.286,279134.505
"Iran",2021,0.25,0.146,0.124684,1,14,"Not Free",-0.185970588235294,0.433382352941176,0.578911764705882,0.385033088235294,0.144033088235294,0,"FALSE",0,0,4221489.03703704,98892.3148148148,38486053.8703704,85028760,49.831,19082.62,0,"0",0,0,0,0,116,4.721,4.672,86022.837
"Iraq",2021,0.15,0.236,0.1081824,1,29,"Not Free",0.83477027027027,0.474162162162162,0.321662162162162,0.0395810810810811,0.213547297297297,0.51162484984985,"Gini index",0,0,1661273.64285714,20035.9523809524,5892358.28571429,41179351,88.125,15663.986,0,"0",0,0,0,0,109,4.854,4.785,42164.965
"Italy",2020,0.0333333333333333,0.785,0.0225033333333333,2,90,"Free",0.283428571428571,0.76310989010989,0.188967032967033,1.20168406593407,-0.0275604395604396,7.02887255799756,"Gini index",35.2,0,2072463,73017.4,16356.4,60367471,205.859,35220.084,0.092,"2020",0.092,2020,0.0988,2019,28,6.483,6.387,60262.77
"Italy",2021,0.075,0.785,0.0506325,2,90,"Free",0.283428571428571,0.76310989010989,0.188967032967033,1.20168406593407,-0.0275604395604396,7.02887255799756,"Gini index",35.2,0,4082364.86849315,119440.194520548,50323295.8465753,60367471,205.859,35220.084,0.092,"2020",0.092,2020,0.0988,2019,28,6.483,6.387,60262.77
"Japan",2021,0,0.736,0,2,96,"Free",0.0539925373134329,0.764641791044776,-0.289559701492537,0.951798507462687,0.00529664179104478,10.2191107379768,"Gini index",0,0,1021720.21487603,13999.6818181818,78671351.0123967,126050796,347.778,39002.223,0.028,"2020",0.028,2020,0.0236,2019,55,5.94,5.871,125584.838
