"Country","year","pandem","libdem_2019","panback","Bicameralism legislature","Total score","Status","Judicial review","Executive dominance","Minimal winning/ one-party c","bicameralism","pluralism","federalism","Indicator Name","2018","2019","total_cases","total_deaths","total_vaccinations","population","population_density","gdp_per_capita","Rate - World Bank ","Year (WB)","Rate - Int'l. Labour Org.","Year (ILO)","Rate - CIA","Year (CIA)","rank","happiness2021","happiness2020","pop2022"
"Rwanda",2021,0.15,0.11,0.05874,2,22,"Not Free",0.596705882352941,0.350098039215686,-0.793941176470588,0.165887365196078,0.0449313725490196,0,"Gini index",0,0,57198.4915254237,740.372881355932,2042825.52542373,13276517,494.869,1854.211,0,"0",0,0,0,0,144,3.415,3.312,13600.464
"Saudi Arabia",2021,0.6,0.048,0.1096704,1,7,"Not Free",-2.652,0.055725,-1.532725,0,0.360475,0,"Gini index",0,0,488250.827476038,7905.35782747604,26076055.5878594,35340680,15.322,49045.411,0,"0",0,0,0,0,26,6.494,6.406,35844.909
"Senegal",2021,0.075,0.577,0.0732213,1,68,"Partly Free",1.13904838709677,0.704483870967742,0.233983870967742,0.120978024193548,0.075008064516129,0.646994946236559,"Gini index",38.1,0,43706.3163265306,1140.04081632653,500728.93877551,17196308,82.328,2470.58,0,"0",0,0,0,0,90,5.132,4.981,17653.671
"Serbia",2021,0.1,0.26,0.07696,1,62,"Partly Free",-1.076,0.330617647058824,-0.308833333333333,0.393198529411765,0.39040931372549,0,"Gini index",35,34.5,744980.055837563,6953.76649746193,4352557.45177665,6871547,80.291,14048.881,0,"0",0,0,0,0,47,6.078,5.778,8653.016
"Slovakia",2021,0,0.732,0,1,90,"Free",1.755,0.840076923076923,-0.228230769230769,0,-0.251134615384615,11.8831798076923,"FALSE",0,0,773330.096153846,11067.5961538462,3165022.71153846,5449270,113.128,30155.152,0.067,"2020",0.067,2020,0.05,2019,33,6.331,6.281,5460.193
"Somalia",2021,0.15,0.097,0.0525546,2,7,"Not Free",-0.319520833333333,0.536166666666667,0.0508333333333333,0,0.232380208333333,0,"Gini index",0,0,17643.4565217391,959.065217391304,411545.652173913,16359500,23.5,0,0,"0",0,0,0,0,0,0,0,0
"South Africa",2021,0.05,0.607,0.0477102,2,79,"Free",-1.24855737704918,0.499065573770492,-0.745385245901639,1.21450963114754,0.106090163934426,1.67879972677596,"Gini index",0,0,2236455.85321101,69244.6422018349,9335512.46330275,60041996,46.754,12294.876,0.292,"2020",0.292,2020,0.2853,2019,101,4.956,4.814,60756.135
"South Korea",2021,0,0.787,0,1,83,"Free",0.228778947368421,0.364094736842105,-0.2392,0.0210526315789474,-0.0122526315789474,3.26642438596491,"FALSE",0,0,245947.970873786,2439.44012944984,37764218.9061489,51305184,527.967,35938.374,0,"0",0,0,0,0,61,5.845,5.872,51329.899
"South Sudan",2021,0.25,0.064,0.059904,2,1,"Not Free",-0.083,0.2652,0.9014,0.54371225,0.125525,0,"Gini index",0,0,11541.6578947368,123,86924.9473684211,11381377,0,1569.888,0,"0",0,0,0,0,0,0,0,0
"Spain",2021,0.05,0.811,0.0306558,2,90,"Free",0.128679245283019,0.601292452830189,-0.255198113207547,1.15581320754717,-0.153985849056604,8.12379496226415,"Gini index",34.7,34.3,4002096.45528455,78224.3292682927,39173603.3739837,46745211,93.105,34272.36,0.155,"2020",0.155,2020,0.1413,2019,27,6.491,6.401,46719.142
"Sri Lanka",2021,0.625,0.435,0.6144375,1,55,"Partly Free",0.306606557377049,0.428147540983607,0.869524590163934,0.307317049180328,0.139858606557377,0.0503645628415301,"Gini index",0,0,325033.975694444,6618.13541666667,13666884.5590278,21497306,341.955,11669.077,0,"0",0,0,0,0,126,4.325,4.327,21575.842
"Sudan",2021,0.4,0.099,0.1427184,0,10,"Not Free",-1.60568333333333,0.474516666666667,0.672083333333333,0.121338541666667,0.268295833333333,0,"Gini index",0,0,36220.0434782609,2644.95652173913,786978.739130435,44909351,23.258,4466.507,0,"0",0,0,0,0,0,0,0,0
"Sweden",2021,0,0.87,0,1,100,"Free",0.0986781115879828,0.892884120171674,0.178197424892704,0.508542375751073,-0.258929184549356,5.20462218645684,"Gini index",30,29.3,989940.352941177,14035.1568627451,8259661.62745098,10160159,24.718,46949.283,0.083,"2020",0.083,2020,0.0678,2019,7,7.363,7.353,10218.971
"Switzerland",2020,0,0.855,0,2,96,"Free",-1.1075,0.875625,0.164754464285714,0.747294821428571,-0.258551339285714,15.4631420758929,"Gini index",33.1,0,431755.454545455,7446.45454545455,2165.09090909091,8715494,214.243,57410.166,0.048,"2020",0.048,2020,0.0231,2019,3,7.571,7.56,8773.637
"Switzerland",2021,0,0.855,0,2,96,"Free",-1.1075,0.875625,0.164754464285714,0.747294821428571,-0.258551339285714,15.4631420758929,"Gini index",33.1,0,737610.547945205,10639.0657534247,6485888.22739726,8715494,214.243,57410.166,0.048,"2020",0.048,2020,0.0231,2019,3,7.571,7.56,8773.637
"Taiwan",2021,0,0.723,0,1,94,"Free",0.0673728813559322,0.345728813559322,0.357906779661017,0,0.19966313559322,2.43632221751412,"FALSE",0,0,12192.0085106383,585.829787234043,11978639.7106383,23855008,0,0,0,"0",0,0,0,0,24,6.584,6.455,23888.595
"Tajikistan",2021,0.25,0.045,0.042975,2,8,"Not Free",1.26475,0.09246875,0.492875,0.908140625,0.4105390625,1.67447145833333,"Gini index",0,0,15808,113.355555555556,2262304.11111111,9749625,64.281,2896.913,0,"0",0,0,0,0,76,5.466,5.556,9957.464
"Tanzania",2021,0.3,0.327,0.2640852,1,34,"Partly Free",0.404826086956522,0.685333333333333,-0.314086956521739,0,-0.0444782608695652,0,"Gini index",40.5,0,15142.8888888889,423.444444444444,926055,61498438,64.699,2683.304,0,"0",0,0,0,0,139,3.623,3.476,63298.55
"Thailand",2021,0.3,0.178,0.1755792,2,29,"Not Free",-0.154612612612613,0.285513513513514,0.177306306306306,0.331860912162162,0.389407657657658,0.104810510510511,"Gini index",36.4,34.9,961583.610687023,9238.2213740458,36406144.759542,69950844,135.132,16277.671,0.011,"2020",0.007,2019,0.0099,2019,53,5.985,5.999,70078.203
"Tunisia",2021,0.15,0.646,0.1372104,0,64,"Partly Free",-0.831068965517241,0.315724137931034,-0.633022988505747,0.073551724137931,0.0913620689655172,0,"Gini index",0,0,533887.586776859,18785.7520661157,4956997.06198347,11935764,74.228,10849.297,0,"0",0,0,0,0,120,4.596,4.392,12046.656
"Turkey",2021,0.5,0.109,0.194238,1,32,"Not Free",-0.127779661016949,0.37878813559322,-0.203593220338983,0.161016949152542,0.209137711864407,-0.996849457627119,"Gini index",41.9,41.9,5631208.5954416,50728.2621082621,61221614.0598291,85042736,104.914,25129.341,0.131,"2020",0.131,2020,0.1368,2019,102,4.948,5.132,85561.976
"Ukraine",2021,0.1,0.316,0.0864576,1,61,"Partly Free",1.28428125,0.56521875,0.18921875,0,-0.07325,-0.937589583333333,"Gini index",26.1,26.6,2481366.81993569,58412.5434083601,8782691.50803859,43466822,77.39,7894.393,0.095,"2020",0.082,2019,0.0889,2019,108,4.875,4.561,43192.122
"United Arab Emirates",2021,0.15,0.092,0.0501216,1,17,"Not Free",-0.1566875,0.102895833333333,-1.135,0,0.364234375,0,"Gini index",26,0,570975.330128205,1675.3108974359,13296322.3974359,9991083,112.442,67293.483,0,"0",0,0,0,0,25,6.561,6.791,10081.785
"United Kingdom",2021,0.1,0.806,0.0625456,2,93,"Free",-0.773892703862661,0.827892703862661,-0.222532188841202,1.1607339055794,-0.361606223175966,2.83576603481164,"Gini index",0,0,6218247.07865169,129488.31741573,70057548.1685393,68207114,272.898,39753.244,0.037,"2019",0.037,2019,0.0317,2019,17,7.064,7.165,68497.907
"Uruguay",2021,0.1,0.815,0.06031,2,97,"Free",1.909,0.885923076923077,-0.377769230769231,1,-0.484019230769231,8.57271452991453,"Gini index",39.7,39.7,313954.266233766,4699.52597402597,4279861.13311688,3485152,19.751,20551.409,0,"0",0,0,0,0,31,6.431,6.44,3496.016
"Uzbekistan",2021,0.25,0.071,0.065959,2,11,"Not Free",0.24578125,0.05071875,-1.0946875,0.3496828125,0.4482265625,2.26604555555556,"Gini index",0,0,165124.458715596,1178.88990825688,21520118.4678899,33935765,76.134,6253.104,0,"0",0,0,0,0,41,6.179,6.258,34382.084
"Venezuela",2021,0.5,0.073,0.135342,1,14,"Not Free",0.78355737704918,0.378729508196721,-0.864467213114754,0.359125922131148,0.100016393442623,1.28505129781421,"FALSE",0,0,278167.095238095,3204,7677949.66666667,28704947,36.253,16745.022,0,"0",0,0,0,0,105,4.892,5.053,29266.991
"Vietnam",2021,0.15,0.132,0.0687456,1,19,"Not Free",-1.64171052631579,0.362710526315789,0.618828947368421,0,-0.0694671052631579,5.69661776315789,"Gini index",35.7,0,428906.805447471,9392.38910505837,33630852.8326848,98168829,308.127,6171.884,0,"0",0,0,0,0,77,5.411,5.353,98953.541
"Zambia",2021,0.3,0.279,0.2413908,1,51,"Partly Free",0.947477477477477,0.439756756756757,0.373144144144144,0,-0.0447364864864865,0,"Gini index",0,0,174519.95890411,2882.87671232877,544765.253424658,18920657,22.995,3689.251,0,"0",0,0,0,0,134,4.073,3.759,19470.234
"Zimbabwe",2021,0.35,0.2,0.224,2,28," Not Free",1.50832432432432,0.493378378378378,-1.07956756756757,0.584626155405405,0.478121621621622,-0.104304528528529,"Gini index",0,50.3,91505.5239726027,3136.90068493151,3087107.28767123,15092171,42.729,1899.775,0,"0",0,0,0,0,145,3.145,3.299,15331.428
